Model,Method,Num_Features,Test_Accuracy,CV_Accuracy,Precision,Recall,F1_Score
Decision Tree,RFE,20,0.6531073446327683,0.6614820319804378,0.7077725641323834,0.6531073446327683,0.6714740693168446
Naive Bayes,RFE,20,0.7084745762711865,0.7225185593619895,0.6850002189812989,0.7084745762711865,0.6845120894545141
Decision Tree,RFE,25,0.6531073446327683,0.6606361725760953,0.7009006292986099,0.6531073446327683,0.6702448134605161
Naive Bayes,RFE,25,0.6983050847457627,0.714605758396663,0.6808088232849714,0.6983050847457627,0.6836090582429741
Decision Tree,RFE,30,0.632768361581921,0.6597879158375886,0.6781748585687337,0.632768361581921,0.6498274492833512
Naive Bayes,RFE,30,0.6903954802259887,0.7027397533942257,0.6701830159457278,0.6903954802259887,0.6754865034526051
Decision Tree,RF Importance,5,0.6169491525423729,0.6448081733112779,0.666004674645461,0.6169491525423729,0.6353997526282141
Naive Bayes,RF Importance,5,0.6915254237288135,0.6905872669591415,0.6715094845557196,0.6915254237288135,0.6553222393456968
Decision Tree,RF Importance,10,0.6508474576271186,0.6739225980709451,0.6994609251674255,0.6508474576271186,0.667935351724753
Naive Bayes,RF Importance,10,0.688135593220339,0.7021751811985073,0.6478845968460483,0.688135593220339,0.6446073253494574
Decision Tree,RF Importance,15,0.6587570621468927,0.6679844013457036,0.7038211404549677,0.6587570621468927,0.6739812275056961
Naive Bayes,RF Importance,15,0.6870056497175141,0.7033055242570262,0.6475953278570601,0.6870056497175141,0.6447616214241785
Decision Tree,RF Importance,20,0.656497175141243,0.6592221449747881,0.711442077863248,0.656497175141243,0.6747096638017305
Naive Bayes,RF Importance,20,0.7084745762711865,0.7225185593619895,0.6850002189812989,0.7084745762711865,0.6845120894545141
Decision Tree,RF Importance,25,0.6485875706214689,0.660071600380377,0.6974053406256797,0.6485875706214689,0.6659724799648096
Naive Bayes,RF Importance,25,0.6983050847457627,0.714605758396663,0.6808088232849714,0.6983050847457627,0.6836090582429741
Decision Tree,RF Importance,30,0.6350282485875707,0.6626127745946507,0.6809848345462173,0.6350282485875707,0.6520684879056254
Naive Bayes,RF Importance,30,0.6903954802259887,0.7027397533942257,0.6701830159457278,0.6903954802259887,0.6754865034526051
Decision Tree,Info Gain,5,0.6203389830508474,0.638311397725729,0.6578589879395623,0.6203389830508474,0.6346813958595918
Naive Bayes,Info Gain,5,0.6903954802259887,0.6908705519462359,0.6829212207890529,0.6903954802259887,0.658965833321073
Decision Tree,Info Gain,10,0.688135593220339,0.6809863431863767,0.7252211725895937,0.688135593220339,0.7018909410432113
Naive Bayes,Info Gain,10,0.7209039548022599,0.7228022439047779,0.7008429737243297,0.7209039548022599,0.6910009193739785
Decision Tree,Info Gain,15,0.6677966101694915,0.6634702211141211,0.7094080074558091,0.6677966101694915,0.6828494414964743
Naive Bayes,Info Gain,15,0.7265536723163842,0.7284527605302904,0.7102656100961185,0.7265536723163842,0.7099722923760358
Decision Tree,Info Gain,20,0.6531073446327683,0.6603588809244121,0.6993442985071746,0.6531073446327683,0.6693583942004995
Naive Bayes,Info Gain,20,0.6926553672316385,0.7072575296270547,0.6713854656090072,0.6926553672316385,0.6729398333358521
Decision Tree,Info Gain,25,0.6463276836158192,0.6620494010660145,0.6919020756650516,0.6463276836158192,0.6630087707134682
Naive Bayes,Info Gain,25,0.6937853107344633,0.7109306451226236,0.6715124103888253,0.6937853107344633,0.674282494704744
Decision Tree,Info Gain,30,0.6361581920903955,0.6623322864974149,0.6852343622249933,0.6361581920903955,0.6539370695427055
Naive Bayes,Info Gain,30,0.6813559322033899,0.7021759803098954,0.6635176797913882,0.6813559322033899,0.6672725451063808
Decision Tree,Gain Ratio,5,0.63954802259887,0.6561108047850791,0.6825330942880049,0.63954802259887,0.6558508246726412
Naive Bayes,Gain Ratio,5,0.6870056497175141,0.6993491237743629,0.6338870911687,0.6870056497175141,0.6318318059982045
Decision Tree,Gain Ratio,10,0.6598870056497175,0.6654416289086535,0.7051183396576525,0.6598870056497175,0.6761852305670828
Naive Bayes,Gain Ratio,10,0.6949152542372882,0.7016066134458482,0.668437297287525,0.6949152542372882,0.6687794072369451
Decision Tree,Gain Ratio,15,0.6542372881355932,0.6753366256722524,0.6974030366466204,0.6542372881355932,0.6706864838999377
Naive Bayes,Gain Ratio,15,0.7107344632768362,0.7148858469382048,0.69644566086368,0.7107344632768362,0.6962135270023478
Decision Tree,Gain Ratio,20,0.6508474576271186,0.6662934816484071,0.6945207852876236,0.6508474576271186,0.667213045343171
Naive Bayes,Gain Ratio,20,0.6949152542372882,0.7018902979886367,0.6737999037999037,0.6949152542372882,0.6780766959288035
Decision Tree,Gain Ratio,25,0.6531073446327683,0.6575268301648567,0.691803524985577,0.6531073446327683,0.6677905340674274
Naive Bayes,Gain Ratio,25,0.6790960451977401,0.6874819201048433,0.6530522874857476,0.6790960451977401,0.6602052665388524
Decision Tree,Gain Ratio,30,0.6519774011299435,0.6620474032875442,0.6952115137540045,0.6519774011299435,0.668127095292237
Naive Bayes,Gain Ratio,30,0.6790960451977401,0.6857858061835239,0.6576528191822516,0.6790960451977401,0.6641262227934962
Decision Tree,Gini Index,5,0.655367231638418,0.6767402648255141,0.7061818684546708,0.655367231638418,0.673516598117682
Naive Bayes,Gini Index,5,0.688135593220339,0.6925654672004731,0.6289563516642124,0.688135593220339,0.6269616839890199
Decision Tree,Gini Index,10,0.6497175141242938,0.6727954514579787,0.6887385824165921,0.6497175141242938,0.6645976099111249
